mouse_gene_id	mouse_gene_name	human_gene_id	human_gene_name	primary_state	mouse_spatial_score	human_detected	human_detection_fraction	human_mean_log_expression	intended_score_column	intended_score_pearson_r	graph_morans_i	matched_null_n	matched_null_moran_p95	matched_null_moran_p99	moran_empirical_upper_p	hotspot_overlap_fraction	human_support_score	interpretation
ENSMUSG00000001506	Col1a1	ENSG00000108821	COL1A1	scar_repair_associated	38.43757856171216	True	0.965183752417795	4.023580731456279	fibroblast_scar_repair_score	0.7929183358200005	0.5906255069591508	100	0.1187098890713495	0.24524608890483673	0.009900990099009901	0.38666666666666666	17.850843348253335	single-section within-human spatial support; not external validation
ENSMUSG00000029661	Col1a2	ENSG00000164692	COL1A2	scar_repair_associated	38.386077584488724	True	0.9677627337201805	3.981233158389497	fibroblast_scar_repair_score	0.7627940727210216	0.5960697299573432	100	0.11702517776994674	0.37134971218606305	0.009900990099009901	0.39072847682119205	17.702592250895666	single-section within-human spatial support; not external validation
ENSMUSG00000018593	Sparc	ENSG00000113140	SPARC	scar_repair_associated	38.24742147071093	True	0.968407479045777	3.8169145101802284	fibroblast_scar_repair_score	0.6939364852412764	0.5465993781436317	100	0.16483395303630607	0.2807698933226576	0.009900990099009901	0.39072847682119205	17.289446726017196	single-section within-human spatial support; not external validation
ENSMUSG00000041616	Nppa	ENSG00000175206	NPPA	mechanical_adverse	38.80541503902978	True	0.9961315280464217	4.693262399632448	mechanical_border_score	0.7740223088148209	0.6164951032333927	100	0.16084532522058176	0.2900384820861383	0.009900990099009901	0.3096774193548387	17.121553207727636	single-section within-human spatial support; not external validation
ENSMUSG00000026193	Fn1	ENSG00000115414	FN1	scar_repair_associated	38.42100883309308	True	0.9284332688588007	3.131561295162636	fibroblast_scar_repair_score	0.7149734111224488	0.3599256173350519	100	0.14963732895904353	0.40532542481135947	0.0297029702970297	0.4236111111111111	16.67872935562358	single-section within-human spatial support; not external validation
ENSMUSG00000026043	Col3a1	ENSG00000168542	COL3A1	scar_repair_associated	38.30561679246617	True	0.9638942617666022	3.8042527548996374	fibroblast_scar_repair_score	0.7015781550179152	0.5494140978163601	100	0.14666097502481767	0.16974023150189907	0.009900990099009901	0.3	16.60946893010749	single-section within-human spatial support; not external validation
ENSMUSG00000068614	Actc1	ENSG00000159251	ACTC1	mechanical_adverse	36.37650537938125	True	0.8826563507414571	2.831497281116465	mechanical_border_score	0.5614802164602897	0.3703539814766206	100	0.1979732372936357	0.3170159290541284	0.009900990099009901	0.32116788321167883	15.93822436445517	single-section within-human spatial support; not external validation
ENSMUSG00000031375	Bgn	ENSG00000182492	BGN	scar_repair_associated	38.18319495707481	True	0.8452611218568665	2.430981757105498	fibroblast_scar_repair_score	0.5845384395842005	0.3940900657696746	100	0.16849604899488022	0.3263720063579491	0.019801980198019802	0.3712121212121212	15.476927607202171	single-section within-human spatial support; not external validation
ENSMUSG00000024803	Ankrd1	ENSG00000148677	ANKRD1	mechanical_adverse	37.97316663317157	True	0.8749194068343005	2.5862963948503146	mechanical_border_score	0.6540715728349584	0.35149292103325996	100	0.12067504551943518	0.1625739271352666	0.009900990099009901	0.18382352941176472	15.395017672303869	single-section within-human spatial support; not external validation
ENSMUSG00000032060	Cryab	ENSG00000109846	CRYAB	mechanical_adverse	36.75006911126382	True	0.8755641521598968	2.6669215516354234	mechanical_border_score	0.5136845584290634	0.3753887914176199	100	0.12240836184122679	0.19301023181444962	0.009900990099009901	0.2426470588235294	15.023283821162615	single-section within-human spatial support; not external validation
