gene_id	gene_name	primary_state	structural_or_repair_caution	n_relevant_samples	relevant_effect_median	relevant_direction_consistency	boundary_slope_consistency	graph_edge_consistency	leave_one_out_direction_consistency	intended_score_correlation_median	detection_fraction_median	replicate_rule_pass	mouse_score_before_effect_percentile	mechanical_state_strength	immune_state_strength	scar_state_strength	effect_magnitude_percentile	mouse_spatial_score
ENSMUSG00000002985	Apoe	scar_repair_associated	False	3	1.3173890147528713	1.0	1.0	1.0	1.0	0.8957559641406871	0.9878945092952875	True	31.374535784844124	0.0	1.0449318329170747	1.1800590670583082	0.9998895637769188	39.37365229505947
ENSMUSG00000023885	Thbs2	scar_repair_associated	False	3	0.7482227596675148	1.0	1.0	1.0	1.0	0.870137265159337	0.5192390834414181	True	31.220823590956023	0.0	0.5498549275246148	0.6510565058270632	0.9962451684152402	39.19078493827794
ENSMUSG00000050708	Ftl1	scar_repair_associated	False	3	1.2489706975532475	1.0	1.0	1.0	1.0	0.8626807458189594	0.9658452226545612	True	31.176084474913758	0.0	0.9562825373356578	1.0774629728712615	0.9997791275538377	39.17431749534446
ENSMUSG00000027996	Sfrp2	scar_repair_associated	False	3	0.9519144132141844	1.0	1.0	1.0	1.0	0.8595966319645404	0.5257241677475141	True	31.157579791787242	0.0	0.6890548677160887	0.8182624235174146	0.9986747653230259	39.14697791437145
ENSMUSG00000029580	Actb	scar_repair_associated	False	3	0.7840947726464069	1.0	1.0	1.0	1.0	0.8547736614726434	0.9950062421972534	True	31.12864196883586	0.0	0.6278190040336364	0.6702235597565291	0.9971286581998896	39.10567123443498
ENSMUSG00000036905	C1qb	scar_repair_associated	False	3	0.9631592519916299	1.0	1.0	1.0	1.0	0.8353046660744526	0.7336662505201831	True	31.011827996446716	0.0	0.722777576048262	0.804531417361388	0.9987852015461072	39.00210960881557
ENSMUSG00000020473	Aebp1	scar_repair_associated	False	3	0.5803265500893755	1.0	1.0	1.0	1.0	0.8414061268049485	0.5176862255513941	True	31.04843676082969	0.0	0.446294390929193	0.4882903147927794	0.9908337934842628	38.975107108703796
ENSMUSG00000036887	C1qa	scar_repair_associated	False	3	0.8677774239678822	1.0	1.0	1.0	1.0	0.8291162645281869	0.7648772367873492	True	30.97469758716912	0.0	0.6480937680377656	0.7194883762021431	0.9981225842076201	38.95967826083008
ENSMUSG00000017466	Timp2	scar_repair_associated	False	3	0.7520968611414285	1.0	1.0	1.0	1.0	0.8294930471288778	0.7760484219628189	True	30.976958282773268	0.0	0.5883744382009294	0.623859117084268	0.9963556046383214	38.947803119879836
ENSMUSG00000069516	Lyz2	scar_repair_associated	False	3	1.479791490647858	1.0	1.0	1.0	1.0	0.8236838227692939	0.9381755296152183	True	30.94210293661576	0.0	1.0456709873545011	1.2188803119182994	1.0	38.94210293661576
ENSMUSG00000016256	Ctsz	scar_repair_associated	False	3	0.8019397433826809	1.0	1.0	1.0	1.0	0.8238611905458207	0.6416978776529338	True	30.943167143274923	0.0	0.6037621960562606	0.6606870317292655	0.9973495306460519	38.92196338844334
ENSMUSG00000038642	Ctss	scar_repair_associated	False	3	1.0809252089461263	1.0	1.0	1.0	1.0	0.810145549117969	0.6204744069912609	True	30.860873294707815	0.0	0.7746350569609693	0.8757067469571149	0.9992269464384318	38.85468886621527
ENSMUSG00000030579	Tyrobp	scar_repair_associated	False	3	1.0825742362846886	1.0	1.0	1.0	1.0	0.8096857561673503	0.6070038910505836	True	30.858114537004102	0.0	0.7590396684808407	0.8765449391134599	0.9994478188845941	38.85369708808086
ENSMUSG00000027656	Ccn5	scar_repair_associated	False	3	0.9895387421660157	1.0	1.0	1.0	1.0	0.8083642758870053	0.48647523928422803	True	30.850185655322033	0.0	0.6816634954943239	0.7999077687731693	0.9988956377691883	38.84135075747554
ENSMUSG00000041616	Nppa	mechanical_adverse	True	6	1.7435154232110919	1.0	0.8333333333333334	1.0	1.0	0.9120136176160749	0.984259422218517	True	30.805415039029786	1.5901098084921699	0.0	0.0	1.0	38.80541503902978
ENSMUSG00000024672	Ms4a7	scar_repair_associated	False	3	0.8087557770038586	1.0	1.0	1.0	1.0	0.7978685002894611	0.4402829796088223	True	30.787211001736765	0.0	0.5605414376453126	0.6452807588985064	0.9975704030922142	38.76777422647448
ENSMUSG00000036896	C1qc	scar_repair_associated	False	3	0.8143072483879858	1.0	1.0	1.0	1.0	0.7971628220016516	0.719412019022914	True	30.78297693200991	0.0	0.5775237105145112	0.6491354641013666	0.9977912755383765	38.76530713631692
ENSMUSG00000022098	Bmp1	scar_repair_associated	False	3	0.5944691858325222	1.0	1.0	1.0	1.0	0.8042226709408469	0.5617977528089888	True	30.82533602564508	0.0	0.43272232816778483	0.4780855964222616	0.9920485919381558	38.761724761150326
ENSMUSG00000046805	Mpeg1	scar_repair_associated	False	3	1.0049563906521377	1.0	1.0	1.0	1.0	0.7913819989499735	0.4833549502810203	True	30.74829199369984	0.0	0.6832132771502479	0.7953043972918392	0.9991165102153506	38.74122407542264
ENSMUSG00000028108	Ecm1	scar_repair_associated	False	3	0.6099782456211051	1.0	1.0	1.0	1.0	0.7854123457800746	0.6379525593008739	True	30.712474074680447	0.0	0.4420009013883572	0.4790844447680867	0.9929320817228051	38.65593072846289
ENSMUSG00000058715	Fcer1g	scar_repair_associated	False	3	0.8825890425233383	1.0	1.0	1.0	1.0	0.774629298002666	0.5476487723678735	True	30.647775788015995	0.0	0.5938658837057608	0.6836793304346986	0.9982330204307013	38.6336399514616
ENSMUSG00000017493	Igfbp4	scar_repair_associated	False	3	0.738450239721286	1.0	1.0	1.0	1.0	0.7739375263175058	0.7609165585819282	True	30.643625157905035	0.0	0.5435926101711683	0.5715143518384612	0.9960242959690778	38.61181952565766
ENSMUSG00000021665	Hexb	scar_repair_associated	False	3	0.5358947986821434	1.0	1.0	1.0	1.0	0.7821108427931334	0.5330739299610895	True	30.6926650567588	0.0	0.39128666911229437	0.4191291326457477	0.9879624516841524	38.59636467023202
ENSMUSG00000035783	Acta2	scar_repair_associated	False	3	0.7687267331891312	1.0	1.0	1.0	1.0	0.7678872549881414	0.6645859342488556	True	30.60732352992885	0.0	0.4927433257739819	0.5902954609846033	0.996797349530646	38.58170232617402
ENSMUSG00000021242	Npc2	scar_repair_associated	False	3	0.7555173805775396	1.0	1.0	1.0	1.0	0.7676343355082135	0.6947686986597492	True	30.605806013049282	0.0	0.54011750429499	0.5799610824045456	0.9964660408614026	38.5775343399405
ENSMUSG00000029061	Mmp23	scar_repair_associated	False	3	0.5339170286065711	1.0	1.0	1.0	1.0	0.7754713928081542	0.46192259675405745	True	30.652828356848925	0.0	0.3747048353726729	0.4140373818175288	0.9877415792379901	38.55476099075285
ENSMUSG00000025232	Hexa	scar_repair_associated	False	3	0.6589105725148953	1.0	1.0	1.0	1.0	0.7573741648099288	0.6160830090791181	True	30.544244988859575	0.0	0.4610740036826621	0.49904184454290085	0.9943677526228603	38.49918700984246
ENSMUSG00000021190	Lgmn	scar_repair_associated	False	3	0.7614020334573908	1.0	1.0	1.0	1.0	0.7525876538313735	0.6748811067877216	True	30.51552592298824	0.0	0.5310938034756896	0.5730217699821346	0.9965764770844837	38.48813773966411
ENSMUSG00000029622	Arpc1b	scar_repair_associated	False	3	0.6923397637744357	1.0	1.0	1.0	1.0	0.7504223538607748	0.6978776529338327	True	30.50253412316465	0.0	0.4896996276986153	0.5195472352030248	0.9952512424075096	38.46454406242473
