sample	stage	n_spots	n_edges	n_cross_label_edges	boundary_fraction	graph_method	n_spots_1	boundary_fraction_1	n_spots_2	boundary_fraction_2	n_spots_3	boundary_fraction_3	n_spots_4	boundary_fraction_4	domain_gradient_mechanical_border_score	edge_gradient_mechanical_border_score	domain_gradient_immune_fibrotic_activation_score	edge_gradient_immune_fibrotic_activation_score	domain_gradient_fibroblast_scar_repair_score	edge_gradient_fibroblast_scar_repair_score
D3_1	day3_mi	2236	7828	824	0.2947227191413238	symmetrized_6_nearest_neighbours_exact	642	0.0	327	0.0	376	0.7393617021276596	891	0.4276094276094276	-3.5669182745671923	-2.3113906380595877	-0.3063504457042172	0.07186641330339805	-0.7451433298394884	0.025026627237864096
D3_2	day3_mi	2412	8442	592	0.18739635157545606	symmetrized_6_nearest_neighbours_exact	939	0.0	710	0.0	320	0.675	443	0.5327313769751693	-1.723280097551961	-1.0032629182280406	-0.23249040161694423	-0.05954741692567571	-0.8715806474298532	-0.2969846585810811
D3_3	day3_mi	2426	8529	761	0.2502061005770816	symmetrized_6_nearest_neighbours_exact	888	0.0	411	0.0	463	0.5572354211663066	664	0.5256024096385542	-2.0075753021292577	-1.1820120222562416	0.01458487687369292	-0.036670614967148484	-0.8163856282728919	-0.21488125877227332
D7_1	day7_mi	2313	8110	478	0.15607436230004323	symmetrized_6_nearest_neighbours_exact	1223	0.0	409	0.0	302	0.5761589403973509	379	0.49340369393139843	-3.4308910828031944	-2.1841781640941424	0.07398546467132006	-0.189219619790795	2.322522821656329	0.5403450087238495
D7_2	day7_mi	2403	8434	594	0.2034956304619226	symmetrized_6_nearest_neighbours_exact	872	0.0	417	0.0	535	0.4785046728971963	579	0.40241796200345425	-3.3308294590099106	-1.5823657537828282	0.06762888432844294	-0.1892619644781145	2.60929392796396	0.9128780782491582
D7_3	day7_mi	2357	8259	720	0.240560033941451	symmetrized_6_nearest_neighbours_exact	721	0.0	528	0.0	528	0.4753787878787879	580	0.5448275862068965	-3.59124951994471	-2.007835326005556	-0.20418437846891324	-0.2956330001805556	1.9769107768496603	0.970926296875
