mouse_gene_id	mouse_gene_name	human_gene_id	human_gene_name	primary_state	mouse_spatial_score	human_detected	human_detection_fraction	human_mean_log_expression	intended_score_column	intended_score_pearson_r	graph_morans_i	matched_null_n	matched_null_moran_p95	matched_null_moran_p99	moran_empirical_upper_p	hotspot_overlap_fraction	human_support_score	interpretation	open_targets_found	open_targets_tractability_labels	open_targets_tractability_modalities	open_targets_cv_disease_score	open_targets_cv_diseases	open_targets_is_essential	open_targets_safety_liability_count	open_targets_safety_events	open_targets_drug_count	chembl_target_id	chembl_target_type	chembl_mechanism_count	dgidb_interaction_count	pharmacology_source_count	known_drug_or_interaction_count	highest_clinical_phase	pharmacology_status
ENSMUSG00000023885	Thbs2	ENSG00000186340	THBS2	scar_repair_associated	39.19078493827794	True	0.4938749194068343	0.9468159891856047	fibroblast_scar_repair_score	0.3575148359007172	0.14030428912185972	100	0.15803651918444048	0.41107472120062044	0.07920792079207921	0.2077922077922078	10.807426677741965	single-section within-human spatial support; not external validation	True	GO CC high conf; Human Protein Atlas loc; UniProt SigP or TMHMM	AB	0.12106501823727045	cardiomyopathy	False	0		0			0	2	1	2	0.0	available
ENSMUSG00000021702	Thbs4	ENSG00000113296	THBS4	mechanical_adverse	36.216896649547394	True	0.3765312701482914	0.7328724308929513	mechanical_border_score	0.32258602557305055	0.32200975157803596	100	0.19065079764815018	0.41193501915073444	0.0297029702970297	0.1016949152542373	11.749075475472202	single-section within-human spatial support; not external validation	True	GO CC high conf; UniProt SigP or TMHMM; UniProt loc med conf	AB	0.09280760351271297	coronary artery disorder; hypertrophic cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy; familial isolated dilated cardiomyopathy; familial isolated restrictive cardiomyopathy; coronary artery disease, autosomal dominant 2; dilated cardiomyopathy 1AA; hypertrophic cardiomyopathy 20	False	0		0			0	1	1	1	0.0	available
ENSMUSG00000017466	Timp2	ENSG00000035862	TIMP2	scar_repair_associated	38.947803119879836	True	0.4951644100580271	0.9581641190553457	fibroblast_scar_repair_score	0.29858408357128424	0.1985076002307967	100	0.09387538305586879	0.12327343190998934	0.019801980198019802	0.10256410256410256	11.612017321940527	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; UniProt SigP or TMHMM; UniProt loc med conf	AB; PR	0.34801874889453494	coronary artery disorder; myocardial infarction	False	1	regulation of gene expression	0			0	0	0	0	0	unavailable
ENSMUSG00000049775	Tmsb4x	ENSG00000205542	TMSB4X	scar_repair_associated	37.96694556211271	True	0.8949065119277885	2.699778839422517	fibroblast_scar_repair_score	0.44554435174228096	0.35042450323928115	100	0.16562810442492218	0.4984163708224043	0.039603960396039604	0.07913669064748201	12.306359635633541	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; Structure with Ligand; UniProt Ubiquitination	AB; PR; SM	0.06578706203315035	familial isolated dilated cardiomyopathy; dilated cardiomyopathy 1E; cardiomyopathy, familial hypertrophic, 28	False	0		0	CHEMBL6067128	SINGLE PROTEIN	0	1	1	1	0.0	available
ENSMUSG00000023905	Tnfrsf12a	ENSG00000006327	TNFRSF12A	mechanical_adverse	35.364703672593905	True	0.41070277240490005	0.7166577273306938	mechanical_border_score	0.2936626973379333	0.14979802487302937	100	0.15735912047000464	0.1999344512775078	0.06930693069306931	0.09375	9.5119761840276	single-section within-human spatial support; not external validation	True	Advanced Clinical; GO CC high conf; Human Protein Atlas loc; UniProt SigP or TMHMM	AB	0.055828158209589696	myocardial infarction; congestive heart failure	False	0		1	CHEMBL3712850	SINGLE PROTEIN	1	3	3	5	2.0	available
ENSMUSG00000091898	Tnnc1	ENSG00000114854	TNNC1	mechanical_adverse	34.20368750243199	True	0.9200515796260477	2.8856764418449616	mechanical_border_score	0.4779032391441713	0.2628463044139659	100	0.2550257785352127	0.5450973934844895	0.0594059405940594	0.16783216783216784	11.21007677752237	single-section within-human spatial support; not external validation	True	Advanced Clinical; Database Ubiquitination; Druggable Family; High-Quality Ligand; High-Quality Pocket; Small Molecule Binder; Structure with Ligand	PR; SM	0.7715906617907641	dilated cardiomyopathy 1Z; hypertrophic cardiomyopathy; hypertrophic cardiomyopathy 13; familial isolated dilated cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy; dilated cardiomyopathy; heart failure; congestive heart failure	False	0		1	CHEMBL2066	SINGLE PROTEIN	0	5	2	6	0.0	available
ENSMUSG00000026414	Tnnt2	ENSG00000118194	TNNT2	mechanical_adverse	35.64486586272267	True	0.8072211476466795	2.21147164796228	mechanical_border_score	0.43797445447908145	0.2803243849972972	100	0.08448064691867876	0.1889767774334203	0.009900990099009901	0.1984126984126984	14.215148314176075	single-section within-human spatial support; not external validation	True	Advanced Clinical; Druggable Family; High-Quality Ligand; Small Molecule Binder; Structure with Ligand	PR; SM	0.8313357257277898	hypertrophic cardiomyopathy; hypertrophic cardiomyopathy 2; cardiomyopathy, familial restrictive, 3; familial isolated dilated cardiomyopathy; dilated cardiomyopathy; familial isolated restrictive cardiomyopathy; cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy	True	0		1	CHEMBL2095202	PROTEIN COMPLEX	1	4	3	6	3.0	available
ENSMUSG00000032366	Tpm1	ENSG00000140416	TPM1	mechanical_adverse	35.35677897104673	True	0.9045776918117344	2.9146007369239544	mechanical_border_score	0.5260492467054013	0.3403513502508495	100	0.12210026849381544	0.1631838854270542	0.009900990099009901	0.18439716312056736	14.631472785196948	single-section within-human spatial support; not external validation	True	Database Ubiquitination; Half-life Data; Structure with Ligand	PR; SM	0.8084900201302846	hypertrophic cardiomyopathy; familial isolated dilated cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy; cardiomyopathy; dilated cardiomyopathy; familial hypertrophic cardiomyopathy; familial cardiomyopathy; hypertrophic cardiomyopathy 1	False	0		0	CHEMBL4295705	SINGLE PROTEIN	0	0	0	0	0	unavailable
ENSMUSG00000051747	Ttn	ENSG00000155657	TTN	mechanical_adverse	34.59682832373414	True	0.9258542875564152	3.114653700256438	mechanical_border_score	0.4503917021897377	0.40487687242721876	100	0.10967417381202779	0.271987589717589	0.019801980198019802	0.11805555555555555	12.646794657582872	single-section within-human spatial support; not external validation	True	Database Ubiquitination; Druggable Family; GO CC high conf; Half-life Data; Structure with Ligand	AB; PR; SM	0.8405092112075613	dilated cardiomyopathy; dilated cardiomyopathy 1G; cardiomyopathy; early-onset myopathy with fatal cardiomyopathy; hypertrophic cardiomyopathy 9; heart failure; Rare familial disorder with hypertrophic cardiomyopathy; familial isolated dilated cardiomyopathy	False	0		0	CHEMBL6067440	SINGLE PROTEIN	0	1	1	1	0.0	available
ENSMUSG00000021614	Vcan	ENSG00000038427	VCAN	immune_fibrotic_adverse	35.20374769348478	True	0.6254029658284977	1.3412802343415424	immune_fibrotic_activation_score	0.34805015891446733	0.20653808886219602	100	0.19197107231664948	0.3328136629785248	0.04950495049504951	0.17525773195876287	12.490362809156908	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; UniProt SigP or TMHMM; UniProt loc high conf	AB; PR	0.07159000631077347	hypertrophic cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy; familial isolated dilated cardiomyopathy; familial isolated restrictive cardiomyopathy; dilated cardiomyopathy 1AA; hypertrophic cardiomyopathy 7	False	0		0			0	1	1	1	0.0	available
ENSMUSG00000026728	Vim	ENSG00000026025	VIM	scar_repair_associated	37.77622878697581	True	0.8491295938104448	2.368974698902915	fibroblast_scar_repair_score	0.45078645514749527	0.3282329370132519	100	0.209899918774938	0.37026437748582014	0.04950495049504951	0.15151515151515152	12.916839943006185	single-section within-human spatial support; not external validation	True	Advanced Clinical; Database Ubiquitination; GO CC med conf; Half-life Data; High-Quality Pocket; UniProt Ubiquitination; UniProt loc med conf	AB; PR; SM	0.07253690533041796	hypertrophic cardiomyopathy	False	0		1	CHEMBL3712854	SINGLE PROTEIN	1	4	3	6	2.0	available
ENSMUSG00000027022	Xirp2	ENSG00000163092	XIRP2	mechanical_adverse	37.38143858478706	True	0.30754352030947774	0.5357690837928224	mechanical_border_score	0.3575920900898284	0.06475152350867353	100	0.20210699511146385	0.2759972575703328	0.22772277227722773	0.10416666666666667	6.978885873872303	single-section within-human spatial support; not external validation	True	Database Ubiquitination; Human Protein Atlas loc	AB; PR	0.07395029934739236	hypertrophic cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy; familial isolated dilated cardiomyopathy; Familial dilated cardiomyopathy with conduction defect due to LMNA mutation; familial isolated restrictive cardiomyopathy; dilated cardiomyopathy 1AA; dilated cardiomyopathy; hypertrophic cardiomyopathy 21	False	0		0			0	0	0	0	0	unavailable
ENSMUSG00000085795	Zfp703	ENSG00000183779	ZNF703	immune_fibrotic_adverse	35.32426596378708	True	0.05867182462927144	0.08450706341960175	immune_fibrotic_activation_score	0.08638520698685892	0.01922536063128843	100	0.03560617265684585	0.05404523679210777	0.22772277227722773	0.2	4.465184227092011	single-section within-human spatial support; not external validation	True			0.0		False	0		0			0	1	1	1	0.0	available
