scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
primary	DCN	36.76487280797725	10.422086219062658	1.5	4.0	44.686959027039904	52	False	52.0	13-76	0.0
primary	APOE	39.37365229505947	10.716602113925003	10.5	16.0	44.59025440898448	53	False	53.0	32-76	0.0
primary	CCR2	33.771147530522995	0.810687524793558	20.0	10.0	44.58183505531655	54	False	54.0	20-95	0.0
primary	SPARC	38.24742147071093	17.289446726017196	2.523339371447697	14.0	44.06020756817583	55	False	55.0	20-84	0.0
primary	SNX3	34.89219551682361	5.187695907707295	3.8914266094995007	0.0	43.9713180340304	56	False	56.0	26-90	0.0
primary	LDB3	34.222869361419846	12.653802299058448	9.0	12.0	43.876671660478294	57	False	57.0	43-74	0.0
primary	CSRP3	36.69185122056544	13.180763025527773	6.0	12.0	43.872614246093214	58	False	58.0	44-74	0.0
primary	TIMP2	38.947803119879836	11.612017321940527	4.176224986734419	11.0	43.73604542855478	59	False	59.0	44-74	0.0
primary	NELFB	32.772981709053944	9.599153166513767	3.031044707793515	2.0	43.40317958336122	60	False	60.0	29-83	0.0
primary	NR2F2	33.6508020525784	6.160607763568144	7.32903282806769	4.0	43.14044264421423	61	False	61.0	37-78	0.0
primary	PSAP	38.39131070917246	11.699219453483678	3.0	10.0	43.09053016265614	62	False	62.0	33-75	0.0
primary	ACTA2	38.58170232617402	13.887258970111866	0.5327271857367166	10.0	43.0016884820226	63	False	63.0	14-77	0.0
primary	SEPTIN7	33.680231888547844	6.018407513330097	3.2323917978489045	0.0	42.931031199726846	64	False	64.0	38-93	0.0
primary	HSPB1	36.554304508452994	9.4951289302995	8.575507004710767	12.0	42.62494044346326	65	False	65.0	50-77	0.0
primary	CILP	36.32020344733499	9.121550915992344	0.9039923245587804	4.0	42.34574668788611	66	False	66.0	21-82	0.0
primary	ELOB	35.013920989460004	5.292453496238932	4.035479666049731	2.0	42.34185415174867	67	False	67.0	36-88	0.0
primary	CYRIA	32.500018606556004	9.831978226934167	0.0	0.0	42.33199683349017	68	False	68.0	16-94	0.0
primary	TGFBR1	36.916774402522904	6.688833916422389	18.0	20.0	41.60560831894529	69	False	69.0	26-97	0.0
primary	ACTN2	34.49492910548819	9.946633729165892	9.0	12.0	41.44156283465408	70	False	70.0	55-83	0.0
primary	ZNF703	35.32426596378708	4.465184227092011	1.5	0.0	41.28945019087909	71	False	71.0	38-96	0.0
