human_gene_name	primary_state	priority_tier	pharmacology_source_count	overall_rank	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
FBLN2	scar_repair_associated	caution_protective	0	82	82.0	60-87	0.0
FBLN1	scar_repair_associated	caution_protective	0	83	83.0	63-88	0.0
FSTL1	scar_repair_associated	caution_protective	0	84	84.0	62-92	0.0
SORBS2	mechanical_adverse	caution_protective	0	85	85.0	72-87	0.0
ITGB1	immune_fibrotic_adverse	caution_protective	2	86	86.0	63-92	0.0
SLC6A6	immune_fibrotic_adverse	caution_protective	0	87	87.0	73-89	0.0
CASQ2	mechanical_adverse	caution_protective	0	88	88.0	75-91	0.0
TGFBR2	immune_fibrotic_adverse	caution_protective	1	89	89.0	73-90	0.0
LOX	scar_repair_associated	caution_protective	1	90	90.0	46-93	0.0
SMPX	mechanical_adverse	caution_protective	0	91	91.0	79-91	0.0
XIRP2	mechanical_adverse	caution_protective	0	92	92.0	84-95	0.0
CRIP2	mechanical_adverse	caution_protective	0	93	93.0	82-94	0.0
CKB	immune_fibrotic_adverse	caution_protective	0	94	94.0	80-96	0.0
POSTN	mechanical_adverse	caution_protective	1	95	95.0	81-96	0.0
MYL6	scar_repair_associated	caution_protective	0	96	96.0	69-96	0.0
CTHRC1	scar_repair_associated	caution_protective	0	97	97.0	87-97	0.0
