stage	n_samples	mean_n_spots	mean_n_domain3_spots	mean_n_domain4_spots	mean_median_nearest_neighbor_fullres_px	mean_contact_threshold_fullres_px	mean_n_domain3_boundary_spots	mean_n_domain4_boundary_spots	mean_fraction_domain3_boundary	mean_fraction_domain4_boundary	mean_median_domain3_to_domain4_distance_fullres_px	mean_median_domain4_to_domain3_distance_fullres_px	mean_mean_domain3_signature_mechanical_border_score	mean_mean_domain4_signature_mechanical_border_score	mean_mean_domain4_minus_domain3_signature_mechanical_border_score	mean_boundary_mean_domain3_signature_mechanical_border_score	mean_boundary_mean_domain4_signature_mechanical_border_score	mean_boundary_mean_domain4_minus_domain3_signature_mechanical_border_score	mean_contact_delta_signature_mechanical_border_score_domain4_minus_domain3	mean_mean_domain3_signature_fibroblast_scar_score	mean_mean_domain4_signature_fibroblast_scar_score	mean_mean_domain4_minus_domain3_signature_fibroblast_scar_score	mean_boundary_mean_domain3_signature_fibroblast_scar_score	mean_boundary_mean_domain4_signature_fibroblast_scar_score	mean_boundary_mean_domain4_minus_domain3_signature_fibroblast_scar_score	mean_contact_delta_signature_fibroblast_scar_score_domain4_minus_domain3	mean_mean_domain3_signature_fibrotic_risk	mean_mean_domain4_signature_fibrotic_risk	mean_mean_domain4_minus_domain3_signature_fibrotic_risk	mean_boundary_mean_domain3_signature_fibrotic_risk	mean_boundary_mean_domain4_signature_fibrotic_risk	mean_boundary_mean_domain4_minus_domain3_signature_fibrotic_risk	mean_contact_delta_signature_fibrotic_risk_domain4_minus_domain3	mean_mean_domain3_prototype_fibrotic_risk	mean_mean_domain4_prototype_fibrotic_risk	mean_mean_domain4_minus_domain3_prototype_fibrotic_risk	mean_boundary_mean_domain3_prototype_fibrotic_risk	mean_boundary_mean_domain4_prototype_fibrotic_risk	mean_boundary_mean_domain4_minus_domain3_prototype_fibrotic_risk	mean_contact_delta_prototype_fibrotic_risk_domain4_minus_domain3	mean_contact_pair_count
day3_mi	3	2358	386.333	666	274.667	370.801	220.667	267.333	0.5759	0.416945	275.692	477.037	1.74625	-0.686336	-2.43259	1.71094	0.039715	-1.67122	-1.379	1.68955	0.878517	-0.811037	1.56164	1.21437	-0.347273	-0.138757	2.58792	2.41317	-0.174752	2.83538	2.76219	-0.0731903	0.0373465	3.56997	2.76867	-0.801304	3.70748	3.16601	-0.541472	-0.444388	496.667
day7_mi	3	2357.67	455	512.667	275	371.25	196.333	202.667	0.445683	0.398072	410.229	501.357	2.72596	-0.725025	-3.45099	2.60302	0.46465	-2.13836	-1.72037	4.7229	7.02581	2.30291	5.69094	6.92703	1.23609	0.754644	3.03205	3.01119	-0.0208565	3.52527	3.37961	-0.145666	-0.205543	4.10177	6.03967	1.93791	4.82965	5.84977	1.02012	0.638834	406
